Sn,Ag,Cu,d,Frequency,T,Drop,P,Life,
99.3,0,0.7,3,1,125,50,0.895562,2297,
99.3,0,0.7,3,1,125,50,2.55379,744,
99.3,0,0.7,3,1,125,50,4.02523,506,
99.3,0,0.7,3,1,125,50,6.1719,258,
99.3,0,0.7,3,0.01,125,50,1.19631,1400,
99.3,0,0.7,3,0.01,125,50,2.85161,401,
99.3,0,0.7,3,0.01,125,50,4.43309,241,
99.3,0,0.7,3,0.01,125,50,6.79728,160,
99.3,0,0.7,3,0.001,125,50,1.59806,842,
99.3,0,0.7,3,0.001,125,50,3.05513,300,
99.3,0,0.7,3,0.001,125,50,4.81543,178,
99.3,0,0.7,3,0.001,125,50,7.28242,109,
99.3,0,0.7,3,0.01,25,50,0.793307,3677,
99.3,0,0.7,3,0.01,25,50,1.97738,994,
99.3,0,0.7,3,0.01,25,50,3.71392,602,
99.3,0,0.7,3,0.01,25,50,6.05512,279,
99.3,0,0.7,3,0.01,75,50,1,2173,
99.3,0,0.7,3,0.01,75,50,2.52484,703,
99.3,0,0.7,3,0.01,75,50,4.01192,338,
99.3,0,0.7,3,0.01,75,50,6.54097,222,
99.3,0,0.7,3,0.01,125,50,1.19733,1405,
99.3,0,0.7,3,0.01,125,50,2.87145,400,
99.3,0,0.7,3,0.01,125,50,4.44677,236,
99.3,0,0.7,3,0.01,125,50,6.88635,159,
99.3,0,0.7,3,0.001,125,50,1.57465,864,
99.3,0,0.7,3,0.001,125,50,3.11141,301,
99.3,0,0.7,3,0.001,125,50,4.66675,179,
99.3,0,0.7,3,0.001,125,50,7.11398,108,
99.3,0,0.7,3,1,25,50,0.394225,6973,
99.3,0,0.7,3,1,25,50,1.38626,1648,
99.3,0,0.7,3,1,25,50,2.49553,1059,
99.3,0,0.7,3,1,25,50,5.37646,482,
95.5,3.8,0.7,3,1,25,50,0.149775,44804,
95.5,3.8,0.7,3,1,25,50,0.769068,6543,
95.5,3.8,0.7,3,1,25,50,2.28902,2801,
95.5,3.8,0.7,3,1,25,50,2.94644,1483,
95.5,3.8,0.7,3,0.001,125,50,1.45305,1889,
95.5,3.8,0.7,3,0.001,125,50,2.94644,821,
95.5,3.8,0.7,3,0.001,125,50,4.41303,571,
95.5,3.8,0.7,3,0.001,125,50,7.09377,298,
99.3,0,0.7,3,1,25,50,0.398912,7058,
99.3,0,0.7,3,1,25,50,1.3815,1674,
99.3,0,0.7,3,1,25,50,2.45669,1031,
99.3,0,0.7,3,1,25,50,5.34651,476,
99.3,0,0.7,3,0.001,125,50,1.60746,847,
99.3,0,0.7,3,0.001,125,50,3.06791,302,
99.3,0,0.7,3,0.001,125,50,4.6887,178,
99.3,0,0.7,3,0.001,125,50,7.16577,110,
95.5,3.8,0.7,3,0.001,125,50,0.970788,4043,
95.5,3.8,0.7,3,0.001,125,50,2.31636,1571,
95.5,3.8,0.7,3,0.001,125,50,3.17794,1118,
