Sn,Ag,Cu,d,Frequency,T,Drop,P,Life
96.5,3.5,0,6,1,20,25,0.361263,12686
96.5,3.5,0,6,1,20,25,0.405238,12687
96.5,3.5,0,6,1,20,25,0.418134,12336
96.5,3.5,0,6,1,20,25,0.440546,11583
96.5,3.5,0,6,1,20,25,0.440546,10953
96.5,3.5,0,6,1,20,25,0.449843,10725
96.5,3.5,0,6,1,20,25,0.483958,10070
96.5,3.5,0,6,1,20,25,0.51525,9390
96.5,3.5,0,6,1,20,25,0.526124,9324
96.5,3.5,0,6,1,20,25,0.554325,9259
96.5,3.5,0,6,1,20,25,0.566024,9003
96.5,3.5,0,6,1,20,25,0.602623,8395
96.5,3.5,0,6,1,20,25,0.6218,8050
96.5,3.5,0,6,1,20,25,0.628327,7773
96.5,3.5,0,6,1,20,25,0.628327,7558
96.5,3.5,0,6,1,20,25,0.634923,7401
96.5,3.5,0,6,1,20,25,0.662006,7247
96.5,3.5,0,6,1,20,25,0.72724,7247
96.5,3.5,0,6,1,20,25,0.798904,7247
96.5,3.5,0,6,1,20,25,0.850561,7047
96.5,3.5,0,6,1,20,25,0.877628,6664
96.5,3.5,0,6,1,20,25,0.905558,6257
96.5,3.5,0,6,1,20,25,0.905558,5633
96.5,3.5,0,6,1,20,25,0.905558,5364
96.5,3.5,0,6,1,20,25,0.905558,5179
96.5,3.5,0,6,1,20,25,0.934376,5036
96.5,3.5,0,6,1,20,25,0.984458,4966
96.5,3.5,0,6,1,20,25,1.01579,4863
96.5,3.5,0,6,1,20,25,1.02645,4762
96.5,3.5,0,6,1,20,25,1.05912,4472
96.5,3.5,0,6,1,20,25,1.07023,4318
96.5,3.5,0,6,1,20,25,1.10429,4228
96.5,3.5,0,6,1,20,25,1.1276,4199
96.5,3.5,0,6,1,20,25,1.1757,4054
96.5,3.5,0,6,1,20,25,1.20051,4026
96.5,3.5,0,6,1,20,25,1.26486,3915
96.5,3.5,0,6,1,20,25,1.33265,3574
96.5,3.5,0,6,1,20,25,1.34664,3427
96.5,3.5,0,6,1,20,25,1.37506,3333
96.5,3.5,0,6,1,20,25,1.43371,3263
96.5,3.5,0,6,1,20,25,1.49487,3263
96.5,3.5,0,6,1,20,25,1.52642,3218
96.5,3.5,0,6,1,20,25,1.55863,3151
96.5,3.5,0,6,1,20,25,1.55863,2959
96.5,3.5,0,6,1,20,25,1.60823,2918
96.5,3.5,0,6,1,20,25,1.64218,2857
96.5,3.5,0,6,1,20,25,1.71222,2759
96.5,3.5,0,6,1,20,25,1.74836,2702
96.5,3.5,0,6,1,20,25,1.76671,2645
96.5,3.5,0,6,1,20,25,1.804,2537
96.5,3.5,0,6,1,20,25,1.82293,2484
96.5,3.5,0,6,1,20,25,1.84207,2449
96.5,3.5,0,6,1,20,25,1.96118,2415
96.5,3.5,0,6,1,20,25,1.98177,2365
96.5,3.5,0,6,1,20,25,1.98177,2252
96.5,3.5,0,6,1,20,25,2.10991,2236
96.5,3.5,0,6,0.1,20,25,0.365055,10284
96.5,3.5,0,6,0.1,20,25,0.368887,10212
96.5,3.5,0,6,0.1,20,25,0.392739,9930
96.5,3.5,0,6,0.1,20,25,0.422523,9260
96.5,3.5,0,6,0.1,20,25,0.464159,8513
96.5,3.5,0,6,0.1,20,25,0.483958,8278
96.5,3.5,0,6,0.1,20,25,0.526124,7827
96.5,3.5,0,6,0.1,20,25,0.548566,7611
96.5,3.5,0,6,0.1,20,25,0.571965,7298
96.5,3.5,0,6,0.1,20,25,0.571965,7047
96.5,3.5,0,6,0.1,20,25,0.596362,6617
96.5,3.5,0,6,0.1,20,25,0.628327,6390
96.5,3.5,0,6,0.1,20,25,0.662006,6257
96.5,3.5,0,6,0.1,20,25,0.683073,6127
96.5,3.5,0,6,0.1,20,25,0.712209,5958
96.5,3.5,0,6,0.1,20,25,0.72724,5916
96.5,3.5,0,6,0.1,20,25,0.80729,5916
96.5,3.5,0,6,0.1,20,25,0.832981,5834
96.5,3.5,0,6,0.1,20,25,0.824327,5107
96.5,3.5,0,6,0.1,20,25,0.859489,5036
96.5,3.5,0,6,0.1,20,25,0.924669,4631
96.5,3.5,0,6,0.1,20,25,0.944184,4318
96.5,3.5,0,6,0.1,20,25,0.944184,4199
96.5,3.5,0,6,0.1,20,25,0.944184,4111
96.5,3.5,0,6,0.1,20,25,0.964111,4026
96.5,3.5,0,6,0.1,20,25,1.00523,3807
96.5,3.5,0,6,0.1,20,25,1.02645,3780
96.5,3.5,0,6,0.1,20,25,1.08147,3650
96.5,3.5,0,6,0.1,20,25,1.1276,3451
96.5,3.5,0,6,0.1,20,25,1.1276,3333
96.5,3.5,0,6,0.1,20,25,1.1757,3218
96.5,3.5,0,6,0.1,20,25,1.1757,3173
96.5,3.5,0,6,0.1,20,25,1.22584,3022
96.5,3.5,0,6,0.1,20,25,1.30511,3022
96.5,3.5,0,6,0.1,20,25,1.31881,2837
96.5,3.5,0,6,0.1,20,25,1.31881,2759
96.5,3.5,0,6,0.1,20,25,1.31881,2645
96.5,3.5,0,6,0.1,20,25,1.3895,2519
96.5,3.5,0,6,0.1,20,25,1.44876,2501
96.5,3.5,0,6,0.1,20,25,1.54244,2432
96.5,3.5,0,6,0.1,20,25,1.54244,2300
96.5,3.5,0,6,0.1,20,25,1.59153,2190
96.5,3.5,0,6,0.1,20,25,1.7302,2115
96.5,3.5,0,6,0.1,20,25,1.88095,2100
96.5,3.5,0,6,0.01,20,25,0.346483,5594
96.5,3.5,0,6,0.01,20,25,0.35751,5440
96.5,3.5,0,6,0.01,20,25,0.372759,5327
96.5,3.5,0,6,0.01,20,25,0.388659,5143
96.5,3.5,0,6,0.01,20,25,0.409492,4966
96.5,3.5,0,6,0.01,20,25,0.422523,4796
96.5,3.5,0,6,0.01,20,25,0.422523,4696
96.5,3.5,0,6,0.01,20,25,0.454565,4318
96.5,3.5,0,6,0.01,20,25,0.464159,4258
96.5,3.5,0,6,0.01,20,25,0.47893,4140
96.5,3.5,0,6,0.01,20,25,0.489038,4054
96.5,3.5,0,6,0.01,20,25,0.51525,3970
96.5,3.5,0,6,0.01,20,25,0.531647,3754
96.5,3.5,0,6,0.01,20,25,0.542868,3650
96.5,3.5,0,6,0.01,20,25,0.554325,3574
96.5,3.5,0,6,0.01,20,25,0.560144,3500
96.5,3.5,0,6,0.01,20,25,0.577969,3380
96.5,3.5,0,6,0.01,20,25,0.596362,3309
96.5,3.5,0,6,0.01,20,25,0.615341,3286
96.5,3.5,0,6,0.01,20,25,0.668955,3173
96.5,3.5,0,6,0.01,20,25,0.690243,3043
96.5,3.5,0,6,0.01,20,25,0.704811,2877
96.5,3.5,0,6,0.01,20,25,0.742589,2683
96.5,3.5,0,6,0.01,20,25,0.774264,2590
96.5,3.5,0,6,0.01,20,25,0.850561,2484
96.5,3.5,0,6,0.01,20,25,0.850561,2449
96.5,3.5,0,6,0.01,20,25,0.850561,2236
96.5,3.5,0,6,0.01,20,25,0.886841,2221
96.5,3.5,0,6,0.01,20,25,0.954095,2190
96.5,3.5,0,6,0.01,20,25,0.954095,2100
96.5,3.5,0,6,0.01,20,25,0.964111,2028
96.5,3.5,0,6,0.01,20,25,1.10429,1904
96.5,3.5,0,6,0.01,20,25,1.13943,1838
96.5,3.5,0,6,0.01,20,25,1.21311,1702
96.5,3.5,0,6,0.01,20,25,1.27813,1587
96.5,3.5,0,6,0.01,20,25,1.29155,1543
96.5,3.5,0,6,0.01,20,25,1.33265,1459
96.5,3.5,0,6,0.01,20,25,1.37506,1449
96.5,3.5,0,6,0.01,20,25,1.46397,1409
96.5,3.5,0,6,0.01,20,25,1.60823,1361
96.5,3.5,0,6,0.01,20,25,1.60823,1332
96.5,3.5,0,6,0.01,20,25,1.67683,1323
96.5,3.5,0,6,0.01,20,25,1.76671,1305
96.5,3.5,0,6,0.01,20,25,1.90069,1305
96.5,3.5,0,6,0.001,20,25,0.380626,4083
96.5,3.5,0,6,0.001,20,25,0.401028,3998
96.5,3.5,0,6,0.001,20,25,0.405238,3887
96.5,3.5,0,6,0.001,20,25,0.422523,3728
96.5,3.5,0,6,0.001,20,25,0.43144,3574
96.5,3.5,0,6,0.001,20,25,0.440546,3500
96.5,3.5,0,6,0.001,20,25,0.459337,3380
